Wall time,Step,Value
1620069831.700044,0,0.262571781873703
1620072895.6103451,10,0.586394190788269
1620075979.900325,20,0.6415587663650513
1620079012.3079765,30,0.6733883619308472
1620082045.573201,40,0.6705910563468933
1620085087.7773604,50,0.6722148060798645
1620088123.7325933,60,0.6791076064109802
1620091160.0723398,70,0.6764979362487793
1620094180.018627,80,0.6748736500740051
1620097206.2598968,90,0.6815634369850159
1620100225.7134244,100,0.6754710078239441
1620103255.8399353,110,0.6786971688270569
1620106296.4005635,120,0.6806230545043945
1620109334.4601533,130,0.6793624758720398
1620112364.0743265,140,0.683821976184845
