Wall time,Step,Value
1620475981.8596451,0,0.3940197825431824
1620482833.5945423,10,0.577217698097229
1620489571.5468946,20,0.6060616970062256
1620496201.0233698,30,0.6076767444610596
1620502791.8791068,40,0.6236985325813293
1620509405.4447858,50,0.6219702959060669
1620516028.3130374,60,0.6242523193359375
1620522676.8080978,70,0.6603363156318665
1620529289.9242132,80,0.6723676323890686
1620535455.046532,90,0.6538240909576416
1620541646.1178875,100,0.6638973355293274
1620547764.976805,110,0.6439825296401978
1620553492.5975614,120,0.6590326428413391
1620559039.270858,130,0.6617592573165894
1620564581.3664048,140,0.6614882349967957
