Wall time,Step,Value
1620352934.3929617,0,0.25900033116340637
1620355974.4888878,10,0.6100521683692932
1620358978.313919,20,0.6711088418960571
1620361980.1063232,30,0.6707850098609924
1620365137.9186864,40,0.6803649067878723
1620370014.2114575,50,0.6793422698974609
1620374909.4668562,60,0.6725670695304871
1620379640.1666903,70,0.6868143677711487
1620384536.5018494,80,0.6762354969978333
1620389514.216884,90,0.6839311718940735
1620394452.758628,100,0.6960852742195129
1620399489.8843842,110,0.6799247860908508
1620404575.4694614,120,0.6841528415679932
1620409690.7213535,130,0.6874351501464844
1620414650.6901088,140,0.6921375393867493
1620419623.34928,150,0.6914884448051453
1620424497.1697693,160,0.6941167712211609
1620429468.3092937,170,0.6956262588500977
1620434418.913927,180,0.6938579678535461
1620439395.5066233,190,0.6939476728439331
1620445317.6255734,200,0.6841475963592529
1620451288.524034,210,0.691756546497345
1620457199.5976691,220,0.6953476667404175
1620463089.8087263,230,0.6904506683349609
1620468967.237185,240,0.6862066388130188
