Wall time,Step,Value
1620385662.7543526,0,0.2630109190940857
1620388305.2343483,10,0.5286023020744324
1620390946.0844002,20,0.6561506986618042
1620393586.2824318,30,0.6466836929321289
1620396226.734376,40,0.67188560962677
1620398863.9043798,50,0.6817096471786499
1620401498.884389,60,0.6695699095726013
1620404131.1784844,70,0.67534339427948
1620406761.5450044,80,0.6688732504844666
1620409391.647183,90,0.6753227710723877
1620412021.7250051,100,0.6720767021179199
1620414650.79489,110,0.6701662540435791
1620417280.485203,120,0.6655533909797668
1620419910.0349655,130,0.6757485270500183
1620422539.5050004,140,0.6754956841468811
1620425168.6552508,150,0.673220694065094
1620427798.8550541,160,0.6739799380302429
1620430428.275194,170,0.671357274055481
1620433057.149877,180,0.671004593372345
1620435686.2749877,190,0.6719282865524292
1620438316.174814,200,0.673642635345459
1620440945.5849605,210,0.6743643283843994
1620443576.0851207,220,0.6777310371398926
1620446205.4452293,230,0.6716427206993103
1620448835.2749882,240,0.6725387573242188
