Wall time,Step,Value
1620385777.0706382,0,0.2463064342737198
1620389159.173837,10,0.5660678148269653
1620392539.4614801,20,0.6597590446472168
1620395911.5739882,30,0.6646243333816528
1620399286.722924,40,0.6759212017059326
1620402657.603057,50,0.6851149797439575
1620406030.2519221,60,0.6727272272109985
1620409395.4530802,70,0.6884303092956543
1620412756.2946773,80,0.6828033924102783
1620416115.6201441,90,0.6761000752449036
1620419472.7713766,100,0.6815319657325745
1620422829.4291883,110,0.6759828329086304
1620426188.7764702,120,0.6739546656608582
1620429552.7834888,130,0.6791709661483765
1620432912.9943414,140,0.6786352396011353
1620436281.5101097,150,0.6763014793395996
1620439648.8498094,160,0.6732717156410217
1620443024.6761694,170,0.676485002040863
1620446425.833442,180,0.7392488121986389
1620449838.1732628,190,0.7518724799156189
1620453250.253176,200,0.7519734501838684
1620456650.8331144,210,0.7530359625816345
1620460053.4805317,220,0.74284428358078
1620463442.219263,230,0.7509757280349731
1620466847.9933863,240,0.7554031610488892
