Wall time,Step,Value
1620069771.502135,0,0.23872655630111694
1620074345.0655975,10,0.5218003392219543
1620078848.3974054,20,0.6009101867675781
1620083353.0961125,30,0.6157135367393494
1620087905.2641647,40,0.6081860661506653
1620092386.0001488,50,0.6169861555099487
1620096927.8407326,60,0.6239105463027954
1620101518.9999027,70,0.626313328742981
1620106030.7410152,80,0.6238439679145813
1620110491.7623894,90,0.6323142051696777
1620114945.5113876,100,0.6344461441040039
1620119254.5169094,110,0.6319106221199036
1620123597.872444,120,0.635182797908783
1620128902.029907,130,0.7007863521575928
1620134398.404506,140,0.7012085914611816
