Wall time,Step,Value
1620252783.973548,0,0.03374117985367775
1620256505.5345252,10,0.29661813378334045
1620260219.629083,20,0.4399285316467285
1620263935.935625,30,0.45734870433807373
1620268016.557707,40,0.48283451795578003
1620272177.8211482,50,0.48845282196998596
1620276304.4857433,60,0.4900355339050293
1620280446.9471183,70,0.5082281231880188
1620284601.6220315,80,0.5301291942596436
1620288741.1737175,90,0.6428846716880798
1620292875.6115427,100,0.6479883193969727
1620296890.9799979,110,0.6419996619224548
1620300576.472808,120,0.6677497029304504
1620304255.9456408,130,0.6327479481697083
1620307943.7380288,140,0.6366616487503052
