Wall time,Step,Value
1620352752.5985796,0,0.2237260937690735
1620355787.1705418,10,0.5095887184143066
1620358822.1048725,20,0.648827075958252
1620361850.5631402,30,0.6691265106201172
1620365190.3784149,40,0.6603268384933472
1620371317.3486488,50,0.6624309420585632
1620377276.4694712,60,0.6385658383369446
1620383200.3257308,70,0.6684468984603882
1620389416.196627,80,0.6422826647758484
1620395666.5778222,90,0.6524989008903503
1620402075.3323812,100,0.6624550819396973
1620408465.6075995,110,0.660434365272522
1620414679.3457892,120,0.66072016954422
1620420893.4980986,130,0.6561871767044067
1620427087.226071,140,0.6563597321510315
1620433254.6596918,150,0.6533093452453613
1620439474.5610056,160,0.6444425582885742
1620446946.3333786,170,0.6548704504966736
1620454494.652776,180,0.6570895910263062
1620462021.0786798,190,0.6505915522575378
1620469648.2876763,200,0.6447804570198059
