Wall time,Step,Value
1620385865.5328565,0,0.03654198721051216
1620387770.893851,10,0.4163307249546051
1620389677.163979,20,0.5673161149024963
1620391577.4728198,30,0.6380566954612732
1620393479.09293,40,0.6414247155189514
1620395380.2429583,50,0.6397961974143982
1620397282.6528332,60,0.6601967811584473
1620399184.5828583,70,0.6448192000389099
1620401085.982855,80,0.6459162831306458
1620402988.352912,90,0.6435107588768005
1620404891.0526521,100,0.6477376222610474
1620406793.8398228,110,0.6474646925926208
1620408695.9168181,120,0.642762303352356
1620410599.125823,130,0.6424197554588318
1620412500.9722955,140,0.6508368253707886
1620414402.8536406,150,0.6398451924324036
1620416303.4584913,160,0.6469890475273132
1620418200.6310878,170,0.64494788646698
1620420096.8546236,180,0.6490343809127808
1620421991.7265198,190,0.6493465304374695
1620423885.4251695,200,0.6432176232337952
1620425779.7632897,210,0.6403675675392151
1620427672.7357852,220,0.6455960273742676
1620429566.2356603,230,0.6383121013641357
1620431459.550646,240,0.6389797925949097
