Wall time,Step,Value
1620440657.4438672,0,0.3075854182243347
1620449183.797533,10,0.5648182034492493
1620457636.1579425,20,0.6093636155128479
1620466155.513845,30,0.6827064156532288
1620474646.2919338,40,0.6771658062934875
1620483338.0129147,50,0.6842503547668457
1620492043.3778455,60,0.6629883050918579
1620500619.4583147,70,0.6824249625205994
1620509165.6329293,80,0.6663025617599487
1620517544.1689916,90,0.6680077910423279
1620526109.0408025,100,0.6761253476142883
1620534221.2985995,110,0.6601756811141968
1620542182.7740617,120,0.6796543598175049
1620550152.6311352,130,0.6783418655395508
1620557602.601216,140,0.6709033846855164
