Wall time,Step,Value
1620440448.954242,0,0.2886795401573181
1620446295.5018592,10,0.5347927212715149
1620452179.547018,20,0.5834639668464661
1620458031.4453275,30,0.5586766600608826
1620463847.7604787,40,0.5457518100738525
1620469706.0693905,50,0.5565523505210876
1620475478.5738626,60,0.5537430047988892
1620481623.8537207,70,0.5455003380775452
1620487706.3805187,80,0.5248068571090698
1620493614.3433616,90,0.5329105854034424
1620499472.165455,100,0.5428052544593811
1620505383.6160228,110,0.5351473689079285
1620511301.8295412,120,0.5393047332763672
1620517197.774962,130,0.5393513441085815
1620523120.0229273,140,0.5385631918907166
