Wall time,Step,Value
1620124436.1690593,0,0.00587419280782342
1620126948.556525,10,0.42514684796333313
1620129439.31811,20,0.44981667399406433
1620131928.961734,30,0.49796363711357117
1620134417.2760935,40,0.5162132978439331
1620136901.3036585,50,0.5183901190757751
1620139400.9052405,60,0.5237300395965576
1620141768.0328026,70,0.5624858736991882
1620144156.5613484,80,0.5635148286819458
1620146519.0791101,90,0.536456286907196
1620148903.7569275,100,0.6218111515045166
1620151279.9008694,110,0.6452322602272034
1620153660.6524403,120,0.6379968523979187
1620156030.0357811,130,0.6374887824058533
1620158328.6356816,140,0.628800630569458
