Wall time,Step,Value
1620070181.8045824,0,0.30807870626449585
1620079054.8175561,10,0.523443877696991
1620087932.0712595,20,0.6125544309616089
1620096653.8572066,30,0.6189027428627014
1620105378.0960805,40,0.6208136677742004
1620113963.9023318,50,0.6262774467468262
1620122136.2286885,60,0.6268280148506165
1620133978.2862775,70,0.6376532912254333
1620145903.9928148,80,0.6240780353546143
1620157458.4774551,90,0.6617028713226318
1620166055.0087554,100,0.6769420504570007
1620174165.6089332,110,0.6645941138267517
1620182615.5790799,120,0.7070167660713196
1620190953.608877,130,0.7092844843864441
1620199292.3626642,140,0.7101067304611206
