Wall time,Step,Value
1620473559.718052,0,0.34108683466911316
1620477335.4248023,10,0.6208169460296631
1620481106.8453965,20,0.6242359280586243
1620484927.831142,30,0.630165696144104
1620488725.5237343,40,0.634861946105957
1620492545.4029803,50,0.6265384554862976
1620496355.4353771,60,0.6745575666427612
1620500156.057184,70,0.6594783067703247
1620503959.4213462,80,0.6727221012115479
1620507750.1254635,90,0.6619781255722046
1620511520.8206625,100,0.6615224480628967
1620515314.4693522,110,0.6626477837562561
1620519119.3339806,120,0.6696324348449707
1620522882.3735015,130,0.658255398273468
1620526686.6539874,140,0.6604145765304565
