Wall time,Step,Value
1620352985.4781694,0,0.2876931130886078
1620356001.4160495,10,0.5615071058273315
1620358984.3279352,20,0.6961197853088379
1620361973.626676,30,0.6936166286468506
1620365718.2603862,40,0.7000794410705566
1620376454.4151545,50,0.7005019187927246
1620386830.217239,60,0.6981098651885986
1620397999.4405515,70,0.7099628448486328
1620409067.3145862,80,0.7152557969093323
1620419540.3472023,90,0.7144352197647095
1620430211.918735,100,0.7217843532562256
1620441243.1849108,110,0.7161124348640442
1620455535.8730905,120,0.7179477214813232
1620469962.5242152,130,0.7239906191825867
1620486542.3866186,140,0.7234248518943787
1620502874.7501929,150,0.7251595258712769
1620519615.878596,160,0.7177811861038208
1620535430.9905689,170,0.7266054749488831
1620550008.1385982,180,0.725952684879303
1620562435.7109425,190,0.7284137606620789
