Wall time,Step,Value
1620124469.9196815,0,0.0006136723677627742
1620127023.7197225,10,0.3130090534687042
1620129597.303805,20,0.3210170269012451
1620132158.3704093,30,0.4383852779865265
1620134705.5510366,40,0.4719349145889282
1620137228.0021608,50,0.530312180519104
1620139753.2885733,60,0.599524974822998
1620142180.6582067,70,0.5824053287506104
1620144604.272226,80,0.6095672845840454
1620147046.379329,90,0.6149557828903198
1620149463.073407,100,0.646885871887207
1620151898.045171,110,0.6252695322036743
1620154313.765366,120,0.6185784339904785
1620156750.2506328,130,0.6444165706634521
1620159067.3421984,140,0.6430231332778931
