Wall time,Step,Value
1620382717.8393192,0,0.23169326782226562
1620385975.705881,10,0.6168647408485413
1620389214.8001347,20,0.651663601398468
1620392475.2123783,30,0.6340717673301697
1620396060.6080244,40,0.6744387149810791
1620402640.2389958,50,0.6656635403633118
1620409188.2351654,60,0.6884254217147827
1620415554.7585528,70,0.6888129115104675
1620421899.1831903,80,0.6994788646697998
1620428237.712439,90,0.7014948725700378
1620434554.0174532,100,0.6953046917915344
1620441261.6360855,110,0.6944771409034729
1620449104.410297,120,0.7023731470108032
1620456971.7409337,130,0.6931643486022949
1620464852.523959,140,0.6916956305503845
1620472702.9390218,150,0.6995102763175964
1620480737.124732,160,0.7018274664878845
1620488902.5393598,170,0.7007426619529724
1620496849.5379746,180,0.7027636766433716
1620504707.279535,190,0.7050693035125732
1620512560.1221504,200,0.703914999961853
1620520474.911499,210,0.6949613690376282
1620528402.1535184,220,0.7002717852592468
1620535663.9209669,230,0.6970917582511902
1620542970.3807743,240,0.7039015889167786
