Wall time,Step,Value
1620124374.2377884,0,0.185514435172081
1620126890.6666799,10,0.4949704110622406
1620129424.0089738,20,0.6327342987060547
1620131932.4391518,30,0.6052184700965881
1620134433.390618,40,0.6702269911766052
1620136966.3314052,50,0.6711330413818359
1620139459.2982545,60,0.6727568507194519
1620141843.4156754,70,0.675044059753418
1620144239.8697162,80,0.6656439900398254
1620146627.7583046,90,0.6794596910476685
1620149030.0592878,100,0.672903835773468
1620151417.9118369,110,0.678802490234375
1620153784.4352405,120,0.6827288269996643
1620156183.7041028,130,0.6883720755577087
1620158483.5006056,140,0.6848068833351135
