Wall time,Step,Value
1620340763.6711235,0,0.030978845432400703
1620342774.6148617,10,0.32510772347450256
1620344789.1532178,20,0.4444190561771393
1620346804.4041624,30,0.48771485686302185
1620348818.1078544,40,0.4811684787273407
1620350834.6904526,50,0.5134648680686951
1620352877.5990102,60,0.5315452814102173
1620354997.7083275,70,0.495692640542984
1620357105.5527444,80,0.5152478218078613
1620359214.6423647,90,0.512907862663269
1620361325.5958467,100,0.5297145843505859
1620363432.7919002,110,0.5203614830970764
1620365596.6319222,120,0.5448071360588074
1620367853.1405616,130,0.6344414949417114
1620370122.4130855,140,0.6435186266899109
1620372386.888873,150,0.6556561589241028
1620374611.956938,160,0.6396419405937195
1620376823.673568,170,0.6672006249427795
1620379051.0891001,180,0.6755011677742004
1620381267.2344244,190,0.6776493191719055
1620383528.1846101,200,0.5700446367263794
1620385830.9890754,210,0.6700091361999512
1620388123.4273322,220,0.6659308075904846
1620390425.1055644,230,0.6648955345153809
1620392728.7383935,240,0.6623876690864563
1620395027.8408089,250,0.654046356678009
1620397378.4849517,260,0.6640427708625793
1620399750.9750354,270,0.6681854128837585
1620402114.269755,280,0.6579837799072266
1620404456.5841405,290,0.6574735641479492
1620406807.8408504,300,0.65791255235672
1620409142.3733783,310,0.5478045344352722
1620411450.8530478,320,0.6588733196258545
1620413746.2123365,330,0.658897876739502
1620416057.2778955,340,0.6535961627960205
1620418351.7243474,350,0.6566904187202454
1620420658.38412,360,0.6634058952331543
1620422980.366089,370,0.6612066626548767
1620425287.7232533,380,0.6582269668579102
1620427582.1619895,390,0.6583172678947449
1620429882.1856306,400,0.6556584239006042
1620432182.8299513,410,0.6586635112762451
1620434494.576629,420,0.6566393971443176
1620436787.6195552,430,0.651303768157959
1620439094.9052646,440,0.6526803970336914
1620441714.3466225,450,0.6571372747421265
1620444407.7115006,460,0.6604880094528198
1620447087.044409,470,0.6555604934692383
1620449804.7327316,480,0.6567911505699158
1620452490.5616963,490,0.6532238721847534
1620455185.834322,500,0.6566162109375
1620457883.797657,510,0.652753472328186
1620460586.0724766,520,0.6528456807136536
1620463284.6905568,530,0.650024950504303
1620466013.0582745,540,0.65399169921875
1620468725.300438,550,0.6473133563995361
1620471432.1607485,560,0.6536703109741211
1620474136.5877523,570,0.6551245450973511
1620476823.10324,580,0.6590627431869507
1620479597.5061347,590,0.6531530618667603
